Unique Flow Name,Location,Most Similar Process
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",Canada,Silicon (metallurgical) for steel
"market for monoethanolamine | monoethanolamine | Cutoff, U",Global,"Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, Québec","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, Alberta","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, British Columbia","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U",Rest-of-World,"Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U",Canada,"Silicon (purified) for electronics and PV cells, gross"
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U",Global,Wood chip Canada production
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U","Canada, Québec",Wood chip Canada production
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U","Canada, Alberta",Wood chip Canada production
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U","Canada, British Columbia",Wood chip Canada production
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U",Rest-of-World,Wood chip Canada production
"market for wood chips, wet, measured as dry mass | wood chips, wet, measured as dry mass | Cutoff, U",Canada,Wood chip Canada production
"market for nickel, class 1 | nickel, class 1 | Cutoff, U",Global,Guaiacum wood natural forest 1250 (kg/m3)
"market for nickel, class 1 | nickel, class 1 | Cutoff, U","Canada, Québec",Guaiacum wood natural forest 1250 (kg/m3)
"market for nickel, class 1 | nickel, class 1 | Cutoff, U","Canada, Alberta",Guaiacum wood natural forest 1250 (kg/m3)
"market for nickel, class 1 | nickel, class 1 | Cutoff, U","Canada, British Columbia",Guaiacum wood natural forest 1250 (kg/m3)
"market for nickel, class 1 | nickel, class 1 | Cutoff, U",Rest-of-World,Guaiacum wood natural forest 1250 (kg/m3)
"market for nickel, class 1 | nickel, class 1 | Cutoff, U",Canada,Guaiacum wood natural forest 1250 (kg/m3)
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Global,Electricity Canada production
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, Québec",Electricity Canada production
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, Alberta",Electricity Canada production
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, British Columbia",Electricity Canada production
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Rest-of-World,Electricity Canada production
"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Canada,Electricity Canada production
"market for wastewater, average | wastewater, average | Cutoff, U",Global,Waste water treatment
"market for wastewater, average | wastewater, average | Cutoff, U","Canada, Québec",Waste water treatment
"market for wastewater, average | wastewater, average | Cutoff, U","Canada, Alberta",Waste water treatment
"market for wastewater, average | wastewater, average | Cutoff, U","Canada, British Columbia",Waste water treatment
